#Person location Sublocation StartTime EndTime Type
40014 974 1 8425680 0 1
40019 885 1 17637840 0 1
40013 5257 1 10260060 0 1
40001 5037 1 10249680 0 1
40001 1099 1 10251120 0 1
40015 977 1 8305860 0 1
40015 5042 1 8306280 0 1
40025 973 1 8831580 0 1
40016 969 1 9501600 0 1
40032 990 1 8148840 0 1
40003 5186 1 20517900 0 1
40054 977 1 9071760 0 1
40053 898 1 9651060 0 1
40053 898 1 9652500 0 1
40053 898 1 9653940 0 1
40052 1216 1 10303560 0 1
40021 993 1 9441180 0 1
40021 993 1 9448260 0 1
40022 993 1 8779140 0 1
40022 997 1 8814840 0 1
40004 996 1 8986080 0 1
40022 502 1 8888220 0 1
40022 522 1 8915940 0 1
40045 970 1 7881780 0 1
40061 878 1 9134880 0 1
40014 5111 1 8420520 0 1
40014 5253 1 8424240 0 1
40030 5034 1 8513880 0 1
40010 971 1 10313640 0 1
40041 981 1 10389420 0 1
40013 989 1 10258860 0 1
40001 5212 1 10249140 0 1
40001 1039 1 10264140 0 1
40049 5038 1 9047700 0 1
40006 976 1 8188800 0 1
40048 1237 1 18950400 0 1
40054 986 1 9091320 0 1
40053 1091 1 9668340 0 1
40053 1091 1 9674100 0 1
40053 1091 1 9676980 0 1
40022 968 1 8696160 0 1
40022 5038 1 8696760 0 1
40022 972 1 8727180 0 1
40022 993 1 8753220 0 1
40022 997 1 8833860 0 1
40008 978 1 8111040 0 1
40008 978 1 8112540 0 1
40008 978 1 8119740 0 1
40018 5302 1 10138620 0 1
40018 985 1 10142280 0 1
40051 5302 1 10482000 0 1
40034 5195 1 8958780 0 1
40019 1069 1 17631240 0 1
40030 5194 1 8506320 0 1
40010 5113 1 10313400 0 1
40057 975 1 9193500 0 1
40013 989 1 10259940 0 1
40049 969 1 9049560 0 1
40049 915 1 9061800 0 1
40037 5302 1 9606360 0 1
40011 971 1 8686020 0 1
40023 973 1 9865500 0 1
40016 1035 1 9495900 0 1
40017 974 1 8399940 0 1
40056 978 1 10155120 0 1
40028 1271 1 27123840 0 1
40022 968 1 8701380 0 1
40022 993 1 8722440 0 1
40022 976 1 8743140 0 1
40004 973 1 8949360 0 1
40022 997 1 8849700 0 1
40022 997 1 8881380 0 1
40022 522 1 8905860 0 1
40045 5032 1 7899720 0 1
40000 974 1 9105840 0 1
40046 970 1 10394340 0 1
